locatiecode,wgs84_lon,wgs84_lat,Overall_status_weighted
BLM108,4.973000948647696,52.31967918512185,Unknown
BLV001,4.952250810471858,52.143935877952416,Potential stress
BLV002,4.928768461376628,52.16724286934078,Potential stress
BLW001,4.93643005140824,52.30441005855148,Potential stress
BLW002,4.950249943688429,52.29161833971445,Potential stress
BLW003,4.96515106235971,52.28603709719473,Potential stress
BLW004,4.964706794132498,52.2865208530728,OK
BLW005,4.920771912365392,52.29735682409447,Potential stress
BLW008,4.907925848227903,52.29639769127578,Potential stress
BLW010,4.917649984480139,52.29869264430821,Potential stress
BLW011,4.920694480954499,52.2949567685501,Potential stress
BLW016,4.965364156412734,52.2867478954451,In danger
BLW020,4.910325983722714,52.292668453627854,In danger
BLW021,4.911854576111995,52.29227914294796,In danger
BLW022,4.932067501421797,52.302326156079296,Potential stress
BLW023,4.965795359954873,52.28145560402383,Potential stress
BLW024,4.952559140796742,52.28630605794918,Potential stress
BLW025,4.964717034184916,52.2900710778902,Potential stress
BLW101,4.923579167954762,52.303686299132586,Unknown
BLW130,4.961863511549306,52.294186255224616,Unknown
BLW136,4.943240391873544,52.30661985214019,Unknown
BLW141,4.907354347194001,52.29502023482435,Unknown
BNB001,4.826382302415694,52.187823864683054,Potential stress
BNB002,4.801584937519431,52.21088367165486,Potential stress
BNB003,4.808956683239286,52.21783179509213,Potential stress
BNB004,4.804244770002654,52.19769338152207,Potential stress
BNB005,4.795860638246573,52.22327661595106,Potential stress
BNB006,4.805478740481743,52.197286016765766,Potential stress
BNB105,4.811256255864976,52.20294985138422,OK
BNB135,4.817364142325734,52.220649956094576,Potential stress
BOT001,4.925838108501477,52.24566050867638,Potential stress
BOT002,4.9235428651868745,52.25093641464701,Potential stress
BOT003,4.921670117875422,52.25497360762356,Potential stress
BOT004,4.930955109405516,52.259288050865656,Potential stress
BOT005,4.928761356995367,52.24332604092199,Potential stress
BOT006,4.913447669351534,52.25006050067438,Potential stress
BOT007,4.922484994148327,52.25828435958499,Potential stress
BOT008,4.932951264257033,52.24883383241109,In danger
BOT009,4.936982904033158,52.264299436999856,Potential stress
BOT011,4.924749075661016,52.26592395315059,Potential stress
BOT013,4.929887011335724,52.249199506071,Potential stress
BOT014,4.921505309071292,52.24692878423891,Potential stress
BOT015,4.920660005679176,52.24934319755769,Potential stress
BOT016,4.925899601496274,52.25385771678991,Potential stress
BOT017,4.921557681383843,52.25312165752315,Potential stress
BOT018,4.919049718840279,52.2534712655295,Potential stress
BOT019,4.919032252608372,52.25095458341441,Potential stress
BOT020,4.91980626263921,52.25673686695264,Potential stress
BOT021,4.915941099719693,52.2538364025826,Potential stress
BOT022,4.926313069226673,52.25635796458522,Potential stress
BOT023,4.928165158870755,52.25854922958056,Potential stress
